286;FNS;69;Razer DeathAdder Elite;400;1.75;1024?768
287;zehN;69;Logitech G703;800;1.1;1024x768
288;Friis;69;SteelSeries Rival 300;400;2.5;1024x768
289;Hyper;69;Zowie ZA12;800;2.2;1920x1080
290;DaZeD;69;Logitech G403 Wireless;400;2;1280x960
291;AZK;69;Zowie ZA12;400;2;1280x960
292;AnJ;69;Zowie EC2-A;800;0.8;1920x1080
293;RIKO;69;SteelSeries Rival 310;500;2;1280x960
294;fejtZ;69;Zowie FK1;800;1.1;1024x768
295;jmqa;69;Zowie FK2;800;1.4;1680x1050
296;waterfallz;69;Zowie EC2-A;1,6;0.65;1600x900
297;NaToSaphiX;69;ROCCAT KONE Pure;800;0.9;1440x1080
298;s0m;69;Logitech G Pro Wireless;400;2.35;1024x768
299;benny;69;Zowie FK1+;400;2.5;1280x960
300;TenZera;69;Logitech G Pro Wireless;800;1;1024x768
301;oBo;69;Zowie EC2-B Divina Edition;400;2.2;1024x768
302;DavCost;69;SteelSeries Rival 300 Fade;800;1.1;1600x1024
303;Dima;69;Zowie ZA13;800;1.1;1680x1050
304;yay;69;Zowie EC2-B;400;3.1;1280x960
305;balblna;69;Zowie EC1-A;400;3;1920x1080
306;Maniac;70;SteelSeries Sensei Raw;400;2.5;1024x768
307;xms;70;Logitech G703;800;1.42;1280x80
